"Source:","http://www.lib.berkeley.edu/MRC/frenchculture.html"
"
French History and CultureContents:
"
"â€¢149; Ѭ href=""#history"">French History and Culture:Ж

â€¢149; Ѭ href=""#arts"">Art, Architecture, Music, Dance, TheaterЖ
"[Rousseau, Henri] Painting: Rousseau the Lovely Dream","Examines the life and works of Henri Rousseau (1844-1910) with the focus on form and meaning of painting. Exhibits paintings by Rousseau and his turn-of-the-century contemporaries. Hosted by: Maya Angelou. 1978. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM555"">Video/C MM555Ж","French History and Culture"
"[Toulouse-Lautrec, Henri] Brush and Barre: The Life and Work of Toulouse-Lautrec","Documents the development of a multimedia dance theater work, based on the life and work of Toulouse-Lautrec, choreographed by Linda Fowler at UCLA. Intercuts rehearsals of the work, views of Toulouse-Lautrec's paintings and graphics, and old photographs depicting Lautrec's life, visual style and philosophy. Concludes with a performance of the work. 1979. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM803"">Video/C MM803Ж","French History and Culture"
"[Toulouse-Lautrec, Henri] Toulouse-Lautrec (Portrait of an Artist)","This program follows the colorful life and ground breaking work of the French painter Toulouse-Lautrec. A great artist and devotee of Parisian night life, he painted his haunts with a sharp eye that saw beneath the gay surface to the corrupt underneath. In his superb lithographic posters he produced for these clubs, Lautrec pioneered a style that shaped the future of graphic art. c1988. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7434"">Video/C 7434Ж","French History and Culture"
"Ѭ href=""#top"">To the topЖ
Ж","","Music and Dance","The JVC Video Anthology of World Music and Dance of Europe. Volume 1 (1990)","Presents on film examples of music and dance from Europe - Ireland, England, France, Switzerland, West Germany, Spain, Italy, Greece - documented by accompanying text written by regional specialists. Includes: Chanson: ""Les feuilles mortes"" -- Harlequin's dance - Farandole. Accompanying guide in English, translated from Japanese. Guide 1 is introduction to entire series. Guide 7 applies to Europe. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3533"">Video/C 3533Ж","French History and Culture"
"The JVC/Smithsonian Folkways Video Anthology of Music and Dance of Europe. Volume 2 (1996)","A collection of folk music and dances from Europe: France -- Spain -- Italy -- Serbia -- Romania. Accompanying guide includes descriptions, lyrics and bibliographical references. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4505"">Video/C 4505Ж","French History and Culture"
"Paris Dances Diaghilev (1992)","Four ballets of the Ballets Russes, recreated in their original sets, costumes and choreography, performed by the Paris Opera Ballet as a tribute to Sergei Pavlovich Diaghilev. Includes: Petrouchka: comic ballet in four scenes, by Igor Stravinsky and Alexander Benois, music by Igor Stravinsky, based on the choreography and production of Michel Fokine (34:48); La spectre de la rose, music by Carl Maria von Weber, orchestrated by Hector Berlioz, choreography by Michel Fokine (9:52); L'apres-midi d'un faune, choreographic tableau by Vaslav Nijinsky, music by Claude Debussy (11:22); Noces: Russian wedding in four tableaux, words and music by Igor Stravinsky, original choreography by Bronislava Nijinska (27:09). 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4227"">Video/C 4227Ж","French History and Culture"
"Ѭ href=""#top"">To the topЖ
Ж","","Theater
","La Comedie Francaise, ou, L'amour Joue (2001)","A Film by Frederick Wiseman. An unnarrated documentary on the 300-year-old Paris comedy company La Comedie Francaise. Wiseman presents every facet of the production, from the construction of the set to the cafeteria, to a birthday party for a retired actress who has reached 100. 223 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM485"">Video/C MM485Ж","French History and Culture"
"Ѭ href=""#top"">To the topЖ","
Ж","History and Life


","L'allee du Roi(1996)","Director, Nina Companez. A historical drama based on the recollections of Francoise d'Aubigne, Marques de Maintenon, wife to Louis XIV, the King of France. In French without substitles. 240 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4510"">DVD 4510Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0112326/"">Credits and other information from the Internet Movie DatabaseЖ","French History and Culture"
"Archives de guerre (1940-1945: ce que les Francais on vu dans les salles de cinema","Five hours of French newsreels and propaganda films drawn from the archives of the Institut national de l'audiovisuel trace the history of World War II month-by-month and document life in France during the German occupation. 402 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9247"">DVD 9247Ж","French History and Culture"
"Banlieue Gay","Emir, Mikael, Brahim and Julia discuss the challenges and vexations experienced by gays and lesbians living in Paris. In French without English subtitles. 2005. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2289"">DVD X2289Ж","French History and Culture"
