"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"Consenting Adults.","Presents a study of homosexuality in men and women, using filmed interviews with practicing homosexuals, to provide insight and bases for understanding and discussion. 1969. 40 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+69"">Video/C 69Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Contemporary Lesbian: Beyond Stereotypes(KPFK, 26 Oct. 1971)","Examination of the changing views of lesbianism. Produced by Sheri Tyler. Presented by Women's Theater of Los Angeles. Includes reenactments including a lesbian on the couch, and a live discussion with participants from the Lesbian Feminists. Includes discussion of the belief by many psychologists that homosexuality is sick and perverted and the belief that lesbians are threats. Continues with readings about women meeting each other and sharing good times. (50:00) Musical interlude. Blood Man"" reading about a male seducer then more female seduction songs and readings complete the program. Includes poetry by Harriet Francis from ""Sappho '71,"" Elsa Gidlow from ""Moods of Eros"", Martha Shelley, Robby, Judy Grahn and the Gay Womens Lib, a speech by Sharon Zetchis, and selections from the July 1971 issue of Every Woman."" Recorded on April 25, 1974 (This date may be inaccurate). Music by Sister Rosie. Originally broadcast on: KPFK, 26 Oct. 1971 88 min. Pacifica Radio Archives, BC0448","Ѭ href=""http://digitalassets.lib.berkeley.edu/pra/ucb/ram/BC0448.ram"">Listen to itЖ
","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Daddy and the Muscle Academy: Tom of Finland","A profile of Tom of Finland, Finland's most famous male homosexual artist, noted for his portrayal of muscular homosexual types in various erotic poses. Completed shortly before his death in 1991, this documentary combines interviews with Tom himself, commentary from his ""leather men,"" hundreds of original drawings and steamy fantasy scenes inspired by his work. Special features: Sketch gallery with over 100 Tom of Finland drawings, 40 minutes of extended interview outtakes with Tom. Written & directed by Ilppo Pohjola. 2003. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X894"">DVD X894Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Does Your Mother Know?","Interviews with lesbian students at the University of California, Berkeley concerning their views on family and personal relationships. Produced by students enrolled in Ethnographic Film (Anthropology 138B) in Spring of 1996, at the University of California, Berkeley, Dept. of Anthropology. Sheila Quinlan, Shu Hung. 1996. 28 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4414"">Video/C 4414Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Drag","An upclose and personal look at some of San Francisco's iconic female impersonators, drag queens and a drag king rock band called Wood. Drag focuses on the different facets of contemporary Drag culture of San Francisco. While entertaining, the film also does away with several misconceptions about one of the sub-cultures of the LGBT community. Directed by Amir Jaffer. 2007. 84 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2359"">DVD X2359Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Dress to Kill","Directed by Lawrence Jordan. Eddie Izzard spins free-flowing jokes about San Francisco, transvestitism, squirrels, American optimism, Hitler, the British royal family, mass murder and Stonehenge. Izzard romps through human history and transforms surprisingly complex ideas into biting satire--as well as knockout bits of sublime frivolity, like describing the movie Speed entirely in French. 1998. 180 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1497"">DVD 1497Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Dry Kisses Only.","Through manipulated film clips this videotape explores the lesbian subtext of classical Hollywood films. 1990. 75 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2750"">Video/C 2750Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc8"">s/c8Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Ecce Homo.","A Film by Jerry Tartaglia. Interweaves images from Jean Genet's masterpiece Un Chant d'Amour with images from gay male sex films. It forces the viewer to question the point of view in looking at ""pornographic"" images. AIDS hysteria portrays gay sex as sinful, politically incorrect, or a public health hazard. Ecce Homo asks whether this taboo is against gay sex or against seeing gay sex. 199?. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2694"">Video/C 2694Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"The Edge of Each Other's Battles: The Vision of Audre Lorde","Documents black lesbian poet and activist Audre Lorde's (1934-92) social vision, using footage from the four-day conference: I am your sister: forging global connections across differences, held in Boston in 1990. At the conference 1,200 men, women and young people from 23 countries examined the issues of the relations between race, class, gender and sexuality through Lorde's work. Interviews with the organizers of the conference are intercut with conference footage, including performances, controversies and speeches. Producer, director, writer, Jennifer Abod. 2000. 59 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7917"">DVD 7917Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc621"">s/c621Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Eve's Daughters","Five lesbian women share their struggles of living in a racist, sexist, and homophobic society. They return as refugees from spiritual exile, refusing to be victims any longer and call upon the church not only to repent of its homophobia, but to celebrate the spiritual gifts they have because they are lesbians. Produced & directed by Anne Macksoud, John Ankele. 1995 ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9909"">DVD 9909Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
