"Source:","http://www.lib.berkeley.edu/MRC/chuckjones.html"
"
The Films of Chuck Jones"
"
"The Ducksters (1950)","Quiz-show contestant Porky is the one who's supposed to be penalized each time he misses a question, but host Daffy is the one who winds up getting safes and boulders dropped on him and deluged by torrents of water. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"The Egg Collector(1940)","Sniffles the mouse and his friend the Bookworm decide to take up egg collecting, setting their eyes upon a big barn owl egg. But the big barn owl isn't so hot on the idea. Video Disc 154"
"8 Ball Bunny(1950)","Directed by Chuck Jones. Bugs helps a penguin go home via New Orleans, Martinique, the Panama Canal and finally the South Pole. But the penguin's home is in New Jersey. Included on ; ; ; also included on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4715"">DVD X4715Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7359"">DVD 7359Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8513"">DVD 8513Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4906"">DVD 4906Ж"
"Elmer's Candid Camera (1940)","Elmer takes up wildlife photography, but finds his subject, a rabbit similar to the later Bugs Bunny character, much too wild. Video Disc 165 ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"Fair and Worm-er (1946)","One long chase: worm chases apple; bird chases worm; cat chases bird; dog chases cat; dogcatcher chases dog; dogcatcher's wife chases dogcatcher; mouse chases dogcatcher's wife. With occasional interruptions by a skunk. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8515"">DVD 8515Ж"
"Fast and Furry-ous (1949)","In their first appearance in a Warner Bros. cartoon, the Coyote (Carnivorous vulgaris) and The Road Runner (Accelerati incredibulis) launch their neverending series of chases through the desert, and The Coyote begins his relationship with the Acme Corporation in his quest for the perfect Road Runner-catching device. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6006"">DVD 6006Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"A Feather in His Hare (1948)","A myopic Mohican tries to catch Bugs. Bugs leads the Indian to the rabbit hole with hundreds of signs. Bugs gets tied to a stake and gets away, hitting the guy with snowballs (it's too cold to throw them in the winter). He parts the guy's hair with a tomahawk, and makes a clay jar to smack him with. ""Who does dis character think he is anyway?"" asks Bugs. The Indian replies: ""Me? Me the last of the Mohicans."" Pointing skyward, Bugs says: ""Oh, da last of da Mohicans, eh? Well, look up, Geronimo."" Up above are storks bringing baby Indians. The Indian faints. Bugs says ""Oh, Prunella!"" and laughs, then looks up and see storks bringing hundreds of baby bunnies. The baby rabbits say, ""Ehh, what's up, Pop?"" In a classic scene where Bugs is tied up, the Indian has a kettle on the fire and is slicing carrots and onions into the pot. Bugs keeps moving from place to place, and the Indian keeps picking up the kettle and moving near to where Bugs is. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8510"">DVD 8510Ж"
"Feed the Kitty (1952)","A bulldog, charmed by a kitten, tries to keep her hidden from his human guardian. ; ; also on  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6006"">DVD 6006Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3564"">DVD 3564Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM161"">Video/C MM161Ж"
"For Scent-imental Reasons (1949)","Pepe Le Peu chases a female cat in a perfume shop until she turns the tables on him. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6006"">DVD 6006Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9503"">DVD 9503Ж"
"Forward March Hare (1953)","Bugs mistakenly gets his neighbor's draft notice and causes a stir when he shows up as ordered. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7359"">DVD 7359Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8510"">DVD 8510Ж"
"Fox Pop (1942)","Directed by Chuck Jones. Warner Brothers. ""A little red fox misunderstands the message when he hears a fur commercial on the radio saying that silver-furred foxes are in demand. He paints himself silver and turns himself into the Silver Fur Fox Farm, where he stays until he learns that the farm intends to skin him and remove his fur. He then takes part in a dangerous jailbreak. The story is told via a flashback and begins and ends with the fox destroying radios."" [Ѭ href=""http://www.bcdb.com/cartoon_synopsis/611-Fox_Pop.html"">Big Cartoon DatabaseЖ] ; also included on ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8516"">DVD 8516Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5962"">DVD 5962Ж"
"Fresh Airedale (1945)","In his master's eyes, ""good old Shep"" is the perfect dog, but the cat knows he's really a two-faced mutt who can be bought off with a bone by a burglar, and then take credit for it when the cat chases the crook off. But then Shep becomes obsessed by a newspaper story proclaiming a real canine hero the nation's ""No. 1 Dog."" ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X942"">DVD X942Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8516"">DVD 8516Ж"
"Frigid Hare (1949)","Bugs rescues a penguin from an Inuit hunter at the South Pole and becomes obligated to it beyond his wildest dreams. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6006"">DVD 6006Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"From A to Z-Z-Z-Z (1953)","In his first of two Warner Bros. cartoons, schoolboy Ralph Phillips daydreams in class, the lessons inspiring his fantasy heroics, such as being a pony-express rider, a deep-sea diver, a boxing champion and even General Douglas MacArthur. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9503"">DVD 9503Ж"
"Gas (1944)","Snafu learns the need of keeping his gas mask at hand when he is attacked by anthropomorphic gas cloud. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2004"">DVD 2004Ж"
"Ghost Wanted (1940)","An inexperienced little ghost tries out for a house-haunting job, but winds up getting terrorized by the fat ghost interviewing him for the position. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8497"">DVD 8497Ж"
"Going! Going! Gosh! (1952)","In his attempt to catch the Road Runner, Wile E. Coyote tries the old cartoon trick of putting up a painting of a continuing road where a bridge has in fact gone out. It doesn't work, nor does dressing in drag or dropping an anvil from a balloon. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3137"">DVD 3137Ж"
"Going Home (1944)","Pvt. Snafu's unit suffers the consequences of blabbing military secrets while on leave at home. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2004"">DVD 2004Ж"
"The Good Egg (1939)","A hen adopts an abandoned egg which hatches into a turtle. The baby turtle becomes the butt of all the real chicks' jokes until danger threatens. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8518"">DVD 8518Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5529"">DVD 5529Ж"
"Guided Muscle (1955)","While cooking a tin can, the Coyote spots a better meal rushing by- the Road Runner. But making himself into a giant arrow doesn't catch the bird, and the book, ""How to Tar and Feather a Road Runner"", isn't much help either. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3137"">DVD 3137Ж"
"Hair-Raising Hare (1946)","A sneaker-wearing, hairy monster chases Bugs through a castle belonging to an evil scientist. ; ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6006"">DVD 6006Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8517"">DVD 8517Ж"
"Hare Conditioned (1945)","Bugs is working as part of an outdoor display in a department store window when the store manager decides to have him stuffed as part of the Taxidermy department. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3137"">DVD 3137Ж"
"Hare Tonic (1945)","Bugs Bunny tricks Elmer Fudd into believing his house has been quarantined for something called ""rabbititus."" ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4875"">DVD 4875Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8511"">DVD 8511Ж"
"Hare-abian Nights (1959)","Directed by Ken Harris. Intending to go to Perth Amboy, Bugs misses a left turn at Des Moines and tunnels into an audition at the Sultan's palace. The Sultan (who looks just like Yosemite Sam) has a crocodile pit ready to receive the talent he rejects. The Timbuc Three Plus 2, a Dixieland quintet, gets dropped, as does an Elvis Presley clone (singing ""You ain't nothing but a hound camel""). To save his fur, Bugs offers a trio of tall tales. The last, involving his triumph over Yosemite Sam, displeases the Sultan greatly. Includes clips of earlier cartoons by Friz Freleng and Chuck Jones. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8510"">DVD 8510Ж"
"Haredevil Hare (1948)","Bugs is tricked into being the first rabbit shot into space. When he lands on the moon he finds Commander X-2 (later known as Marvin Martian) set to blow up planet Earth. ; ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6006"">DVD 6006Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4715"">DVD X4715Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2073"">DVD 2073Ж"
"Heaven Scent (1956)","On the French Riviera, a female cat is frightened by sudden outbursts of barking by every dog around her. So, to scare them away, she paints her back with a white stripe like that of a skunk. The dogs, on seeing her stripe, run away and hide in fright. But she doesn't receive the peace she'd expected, because Pepe Le Pew, the amorous French skunk, sees her, thinks she's a girl skunk, and tries to make love to her. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X942"">DVD X942Ж"
"Hell-Bent for Election (1944)","In this cartoon, a political piece paid for by the United Auto Workers, presidential candidate Franklin Delano Roosevelt is portrayed as streamlined express train, while Thomas Dewey is shown as an old, tired steamer. The voters are encouraged not to ""fall asleep at the switch"" when it came time to support FDR. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1834"">vhs 999:1834Ж"
"High Note(1942)","Set on a piece of sheet music , musical notes arrange to perform ""The Blue Danube,"" but are thwarted by one pixilated note who's been visiting the ""Little Brown Jug."" ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9503"">DVD 9503Ж"
"Hold the Lion, Please(1942)","A lion wants to prove he's still ""King of the Jungle"" and, to prove it, he hunts rabbit. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8516"">DVD 8516Ж"
